Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:64652000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
64652000;2;01/01/1974;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;60,123;65,348;93,326;126,251;320,093;259,434;79,898;67,118;72,513;150,543;212,764;202,778;150,543;121,974;79,898;74,339;85,576;85,576;61,85;42,144;39,088;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64652000;2;01/02/1974;;1;1;113,556;23,209;49,62;5;12;1;1;1;;0;74,339;51,714;79,898;103,292;113,556;85,576;60,123;45,269;34,636;32,198;26,554;23,209;23,209;23,209;23,209;23,209;39,088;72,513;40,607;36,102;30,23;30,23;43,698;68,902;63,592;58,411;43,698;39,088;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
64652000;2;01/03/1974;;1;1;97,276;13,183;37,195;19;31;1;1;1;;0;39,088;32,198;23,209;23,209;23,209;18,772;40,607;30,23;32,198;33,189;33,189;33,189;33,189;34,636;28,349;34,636;58,411;83,67;97,276;79,898;50,079;39,088;36,102;37,586;39,088;42,144;26,554;26,554;15,162;15,162;13,183;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64652000;2;01/04/1974;;1;1;26,554;4,913;13,216;6;21;1;1;1;;0;13,183;13,183;13,183;14,163;18,772;26,554;26,554;26,554;13,183;13,183;13,183;13,183;12,224;11,286;11,286;11,286;11,286;11,286;11,286;9,476;4,913;4,913;4,913;9,476;15,162;17,438;20,177;11,286;7,759;6,144;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64652000;2;01/05/1974;;1;1;45,269;6,144;11,137;20;4;1;1;1;;0;7,759;7,759;6,938;6,144;6,144;6,144;6,144;6,144;6,144;6,144;6,144;6,144;6,144;6,144;6,144;6,144;6,144;7,759;23,209;45,269;24,841;11,286;11,286;11,286;13,183;14,163;17,438;17,438;15,162;13,183;11,286;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64652000;2;01/06/1974;;1;1;510,024;7,759;75,387;26;4;1;1;1;;0;9,476;9,476;9,476;7,759;7,759;7,759;65,348;103,292;70,701;70,701;74,339;85,576;63,592;39,088;33,189;26,554;20,177;20,177;20,177;17,438;48,459;70,701;50,079;45,269;289,285;510,024;228,01;115,644;83,67;58,411;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64652000;2;01/07/1974;;1;1;43,698;9,476;15,648;1;26;1;1;1;;0;43,698;37,586;26,554;26,554;23,209;23,209;20,177;16,174;15,162;15,162;14,163;13,183;13,183;13,183;13,183;13,183;11,286;11,286;11,286;11,286;11,286;11,286;11,286;11,286;10,37;9,476;9,476;9,476;9,476;9,476;9,476;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64652000;2;01/08/1974;;1;1;325,794;6,144;24,645;30;18;1;1;1;;0;9,476;9,476;9,476;7,759;7,759;7,759;7,759;7,759;7,759;7,759;7,759;7,759;7,759;7,759;7,759;7,759;7,759;6,144;6,144;6,144;6,144;6,144;6,144;6,144;6,144;6,144;6,938;10,37;50,079;325,794;178,457;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64652000;2;01/09/1974;;1;1;278,317;7,759;32,971;2;23;1;1;1;;0;173,706;278,317;124,107;63,592;33,189;26,554;24,841;23,209;17,438;16,174;15,162;15,162;13,183;13,183;11,286;11,286;10,37;9,476;9,476;9,476;9,476;8,605;7,759;7,759;7,759;7,759;7,759;8,605;13,183;11,286;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64652000;2;01/10/1974;;1;1;516,578;4,913;70,658;26;22;1;1;1;;0;9,476;9,476;8,605;10,37;13,183;13,183;13,183;10,37;9,476;7,759;7,759;7,759;7,759;6,144;6,144;6,144;6,144;6,144;6,144;6,144;6,144;4,913;4,913;8,605;148,282;516,578;351,82;325,794;322,94;202,778;126,251;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
