Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:64685000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
64685000;2;01/03/1953;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;212,556;224,78;227,855;215,601;206,49;185,511;176,645;167,857;167,857;164,945;167,857;179,591;182,547;176,645;191,464;185,511;167,857;156,266;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64685000;2;01/04/1953;;1;1;543,649;153,392;294,051;18;2;1;1;1;;0;156,266;153,392;159,15;173,706;176,645;182,547;194,453;246,457;268,479;246,457;243,339;237,124;209,519;188,483;194,453;221,713;400,118;543,649;444,774;369,708;303,736;383,171;472,661;543,649;529,311;437,85;366,356;287,614;252,715;234,027;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64685000;2;01/05/1953;;1;1;2122,536;119,679;379,982;28;18;1;1;1;;0;221,713;203,469;209,519;203,469;188,483;179,591;179,591;176,645;173,706;173,706;164,945;156,266;150,527;179,591;173,706;167,857;164,945;119,679;144,827;127,966;127,966;127,966;127,966;130,751;127,966;320,011;1963,459;2122,536;1630,346;851,052;789,214;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64685000;2;01/06/1953;;1;1;668,133;173,706;291,492;1;29;1;1;1;;0;668,133;576,153;515,043;455,196;386,55;359,668;323,284;290,826;300,499;310,228;310,228;306,979;300,499;278,017;268,479;255,854;237,124;224,78;224,78;221,713;215,601;212,556;209,519;203,469;197,45;188,483;179,591;176,645;173,706;173,706;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64685000;2;01/07/1953;;1;1;173,706;144,827;153,787;1;30;1;1;1;;0;173,706;170,777;167,857;159,15;156,266;150,527;150,527;150,527;150,527;150,527;150,527;150,527;156,266;159,15;159,15;153,392;150,527;153,392;156,266;153,392;153,392;150,527;150,527;150,527;150,527;150,527;150,527;150,527;147,672;144,827;144,827;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64685000;2;01/08/1953;;1;1;139,165;100,743;110,982;1;18;1;1;1;;0;139,165;139,165;133,545;127,966;122,431;122,431;122,431;116,939;114,21;111,493;111,493;111,493;111,493;106,094;106,094;106,094;106,094;100,743;100,743;100,743;100,743;100,743;100,743;100,743;100,743;100,743;100,743;106,094;106,094;106,094;106,094;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64685000;2;01/09/1953;;1;1;843,277;106,094;361,192;27;1;1;1;1;;0;106,094;106,094;106,094;156,266;203,469;185,511;185,511;179,591;164,945;164,945;182,547;240,228;583,421;543,649;434,395;353,002;396,718;638,438;336,435;403,523;363,009;300,499;281,21;320,011;455,196;823,896;843,277;671,862;598,005;507,934;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64685000;2;01/10/1953;;1;1;2251,35;320,011;792,662;8;3;1;1;1;;0;343,044;349,677;320,011;323,284;413,769;490,241;1599,829;2251,35;1372,218;961,192;732,012;623,681;525,738;465,661;437,85;437,85;441,309;472,661;608,986;1196,453;1163,469;894,036;739,595;642,136;728,226;1142,938;953,247;894,036;1065,521;1033,218;949,279;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64685000;2;01/11/1953;;1;1;1457,378;353,002;746,686;4;27;1;1;1;;0;1041,277;917,639;1308,956;1457,378;1242,07;997,089;820,029;690,56;627,364;561,665;500,844;543,649;766,242;1155,249;1275,435;1163,469;870,543;739,595;638,438;598,005;579,785;561,665;525,738;483,196;448,243;430,945;353,002;379,797;369,708;353,002;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64685000;2;01/12/1953;;1;1;671,862;246,457;360,878;3;27;1;1;1;;0;369,708;483,196;671,862;590,705;561,665;507,934;430,945;396,718;369,708;369,708;356,332;356,332;349,677;353,002;353,002;329,848;329,848;329,848;300,499;294,044;290,826;290,826;290,826;290,826;278,017;259;246,457;246,457;259;297,268;333,138;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
