Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02453055


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2453055;1;01/02/1961;1;41,7000007629395;178,399993896484;23;14;1;1;0;;0;0;0;11,1000003814697;9,60000038146973;0;22,2999992370605;0;26,3999996185303;0;0;0;18,7000007629395;0;0;0;0;0;0;0,800000011920929;7,59999990463257;12,1000003814697;13,1999998092651;41,7000007629395;2,59999990463257;1,29999995231628;0;6,30000019073486;4,69999980926514;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
2453055;1;01/03/1961;1;41,9000015258789;149,600006103516;17;13;1;1;0;;0;10,5;0;0;0;18,2999992370605;4,5;7,5;0;0;0;0,699999988079071;11,3999996185303;0;26,7000007629395;0,400000005960464;0;41,9000015258789;3,5;4,40000009536743;0;0;0;0;0;0;0;0;7;0;12,8000001907349;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2453055;1;01/04/1961;1;66,6999969482422;171,399993896484;4;11;1;1;0;;0;0;0;7,40000009536743;66,6999969482422;11,3999996185303;0;0;0;0;0;0;0;0;24,1000003814697;5;1,20000004768372;0;0,899999976158142;7;0;0;2;42,4000015258789;0;0;3,29999995231628;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2453055;1;01/05/1961;1;35,0999984741211;98,6999969482422;8;6;1;1;0;;0;0;4,59999990463257;24,6000003814697;0;0;0;18,6000003814697;35,0999984741211;0;0;0;0;0;0;0;0;0;9,19999980926514;6,59999990463257;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2453055;1;01/06/1961;1;59,4000015258789;175,399993896484;5;10;1;1;0;;0;0;7,40000009536743;0;0;59,4000015258789;8,19999980926514;1,39999997615814;0;0;0;39,7999992370605;10,6999998092651;17,3999996185303;18,2999992370605;0,400000005960464;0;0;0;0;0;12,3999996185303;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2453055;1;01/07/1961;1;9,60000038146973;17,3999996185303;22;4;1;1;0;;0;0;0;0;0;0;0;0;2,79999995231628;0;1;0;0;0;0;0;0;0;4;0;0;0;9,60000038146973;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2453055;1;01/08/1961;1;36,0999984741211;50,2000007629395;30;6;1;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,600000023841858;0;0,699999988079071;0;0;1,10000002384186;0;0;0;2,09999990463257;0;9,60000038146973;0;0;0;36,0999984741211;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2453055;1;01/09/1961;1;31,6000003814697;198,800003051758;12;13;1;1;0;;0;9,80000019073486;0;0;0;0;14,8000001907349;6,90000009536743;25,5;10,1000003814697;2;31,2999992370605;31,6000003814697;0;0;0;0;0;0;0;0;0;22;0;0;3,59999990463257;19,8999996185303;0;8,69999980926514;12,6000003814697;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2453055;1;01/10/1961;1;64,4000015258789;219,300003051758;21;12;1;1;0;;0;0;0;0;0;0;0;0;0;0;20,6000003814697;4,59999990463257;0;0;23,2000007629395;0;0;3,90000009536743;15,1000003814697;0;32,5;64,4000015258789;6,90000009536743;2,29999995231628;0;0;11;2,59999990463257;0;0;0;32,2000007629395;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2453055;1;01/11/1961;1;44,2999992370605;264,399993896484;22;15;1;1;0;;0;0,200000002980232;18,6000003814697;15,6999998092651;0;0;0;0;0;0;23,6000003814697;0;0,600000023841858;30,3999996185303;25,2000007629395;0,400000005960464;0;0;0;0;13,1000003814697;18,1000003814697;44,2999992370605;27;2,29999995231628;12,6999998092651;0;0;32,2000007629395;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
